Course Code,Course-Name,Semester,Instructor,Branch,L-T-P-S-C,Number-of-Students,Credits,Type
MA261,Differential Equations,3,Dr. Anand Barangi,CSE,3-1-0-0-2,170,2,Core
MA262,Multivariate Calculus,3,Dr. Somen Bhattacharjee,CSE,3-1-0-0-2,170,2,Core
CS261,Operating System,3,Dr. Suvadip Hazra,CSE,3-0-0-4-2,170,2,Core
CS262,Software Design Tools And Techniques,3,Dr. Vivekraj V K,CSE,3-0-2-0-3,170,3,Core
CS263,Design & Analysis of Algorithm,3,Dr. Pramod Yelmewad,CSE,3-0-2-0-4,170,4,Core
CS264,Computer Networks,3,Dr. Prabhu Prasad B M,CSE,3-1-0-0-4,170,4,Core
HS261,HSS(Ethics & Values),3,Dr. Aswath Babu,CSE,3-0-0-3,170,2,Core
EC251,Electronics System Design - I,3,Dr. Pankaj,CSE,3-1-0-0-2,40,2,Elective
EC252,Introduction to RFIC Design,3,Dr. Sibshankar Padhy,CSE,3-1-0-0-2,30,2,Elective
CS152,Data Science with Python,3,Dr. Abdul Wahid,CSE,3-1-0-0-2,60,2,Elective
CS251,2D Computer Graphics,3,Dr. Vivekraj V K,CSE,3-1-0-0-2,40,2,Elective

